Slope	rowID	Enzyme ID	Enzyme Name	Subsystems	Direction	Gr Rule
4573.724	7	rxn00802	N-(L-Argininosuccinate) arginie-lyase		1	PSHA_RS11280
1039.0609	15	rxn00011	pyruvatethiamin diphosphate acetaldehydetransferase		0	(( PSHA_RS13615 and PSHA_RS13620 and PSHA_RS01930 ) or ( PSHA_RS17075 and PSHA_RS17070 ))
49424.3084	22	rxn05466	Ammonia transport via diffusion		1	PSHA_RS11135
2416.451	30	rxn02476	Phosphoenolpyruvate3-phosphoshikimate		1	PSHA_RS07005
1235.34	45	rxn01985	Deoxyinosineorthophosphate ribosyltransferase		-1	PSHA_RS15265
6436.3436	54	rxn02186	2,3-Dihydroxy-3-methylbutanoateNADP+ oxidoreductase (isomerizing)		1	PSHA_RS04145
2416.451	57	rxn02212	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase		0	PSHA_RS13355
3899.2367	63	rxn02160	L-Histidinol-phosphate phosphohydrolase		0	PSHA_RS17195
5706.8188	83	rxn02789	2-Isopropylmalate hydro-lyase		1	( PSHA_RS14190 and PSHA_RS14195 )
5706.8188	107	rxn00902	3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase		-1	PSHA_RS14205
5534.843	111	rxn00503	L-1-Pyrroline-5-carboxylateNAD+ oxidoreductase		-1	PSHA_RS11170
3899.2367	129	rxn00863	L-HistidinalNAD+ oxidoreductase		1	PSHA_RS17205
7466.6912	148	rxn00423	serine O-acetyltransferase		-1	PSHA_RS03150
1039.0609	150	rxn03436	(S)-2-Aceto-2-hydroxybutanoateNADP+ oxidoreductase (isomerizing)		1	PSHA_RS04145
3899.2367	173	rxn02159	L-HistidinolNAD+ oxidoreductase		1	PSHA_RS17205
7466.6912	182	rxn00649	O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide)		-1	PSHA_RS09475
2416.451	252	rxn01332	PhosphoenolpyruvateD-erythrose-4-phosphate		0	PSHA_RS17530
7461.0366	253	rxn00566	L-Cysteine L-homocysteine-lyase (deaminating)		-1	PSHA_RS09510
1235.34	254	rxn01858	Deoxyadenosine aminohydrolase		-1	PSHA_RS00520
3899.2367	295	rxn02834	Phosphoribosyl-ATP pyrophosphohydrolase		0	PSHA_RS17160
3899.2367	302	rxn03175	N-(5'-Phospho-D-ribosylformimino)-5-amino-1-		1	PSHA_RS17185
3899.2367	304	rxn02473	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase		0	PSHA_RS17195
4573.724	317	rxn01637	N2-Acetyl-L-ornithine2-oxoglutarate aminotransferase		-1	( PSHA_RS00975 or PSHA_RS16905 )
5544.7149	329	rxn00313	meso-2,6-Diaminoheptanedioate carboxy-lyase		0	( PSHA_RS00475 or PSHA_RS00895 )
10440.6909	376	rxn00285	SuccinateCoA ligase (ADP-forming)		0	( PSHA_RS08065 and PSHA_RS08060 )
